,addr_area,addr_city,addr_county,addr_province,address,address_hashid,avatar,bonus,company_hashid,company_id,company_url_hash,created,creator,creator_name,deadline_end,deadline_start,deleted,deletor,edu_level,exp_level,finished_date,full_name,fund,hashid,id,industry,job_category,latitude,logo,longitude,pay_range_from,pay_range_to,remain_bonus,scale,seq,short_name,skills,source,source_id,status,street,street_number,summary,summary_short,title,updated,updator,url_hash,website,work_type
0,,杭州,滨江区,浙江,滨江区英飞特大厦,fe40448c0f9dcc79fda2d43fc884ff0b,public://avatar/2018/03-02/100458625551304869.png,0,459913b21c76d56b63553c1c55f93565,63,72e63d0faa,1519973558,34191,Jean,,,0,0,本科,1-3年,,杭州旦悦科技有限公司,B轮,8a5deca2ee2d1a45d00b206142aeb241,8997,教育培训,产品#产品经理#产品经理,30.185,https://api.neituixiaowangzi.com/files/company/2017/08-08/231627019231015885.jpg,120.20181,10,15,0,500-2000人,,abc360,,,,开放,英飞特大厦,,"岗位职责：
1、负责教育类产品的功能设计，并撰写产品原型；
2、与技术、美术等团队成员交流，跟进所负责工作的开发进度与质量；
3、对系统的创意、玩法及内容进行整合梳理；
4、通过分行运营数据和用户行为，提出产品优化改进方案。

任职资格：
1、本科以上学历，两年以上互联网项目经验；
2、熟悉K12市场、用户需求，了解用户心理、行为规则；
3、突出的逻辑思维能力和表达能力，能把握设计重点，细化规则；
4、较强的沟通协调能力，能够与技术美术等同事进行良好的合作；
5、有教育、用户研究、市场调查类项目经验者优先，有完整项目参与经验者优先；
6、有UE设计经验者优先",,产品经理,1519973558,0,ecdc9de41b,www.abc360.com,
1,,杭州,西湖区,浙江,西湖区西溪街道文二路188号浙江省团校青年创业学院311室,68b54534b47344e3de1e98e564118165,public://avatar/2018/03-02/071143678562433924.png,0,427cac5fa6539503f3cc41542c087e44,1188,60b030ee8b,1519972711,34000,Nancy,,,0,0,本科,3-5年,,杭州不匠科技有限公司,不需要融资,5ff533ec7a11c5c5b94d1797c7ecd6d2,8991,移动互联网,产品#产品经理#产品经理,30.275251,https://api.neituixiaowangzi.com/files/company/2017/11-30/154628923107980655.jpg,120.149577,8,15,0,少于15人,,小咖玩,,,,开放,西溪街道,文二路188号浙江省团校青年创业学院311室,"岗位发展描述：
1.负责独立项目，未来业务可以独立
2.薪资+绩效+分红+期权激励
3.介意996、单休、外包或初创公司的，勿扰
岗位职责：
1、负责产品策划运营工作，包括用户需求分析、产品功能设计等； 
2、负责产品上线后的数据分析、用户行为分析，不断完善产品； 
3、负责协调内外部资源推动产品功能实现，带领团队拓展新的产品方向； 
4、负责对国内外行业相关的产品进行持续的跟踪和分析，掌握业界新的产品动态。 
岗位要求： 
1、具有3年以上互联网产品经理经验，本科以上学历； 
2、对SAAS及零售移动端等产品有深入理解； 
3、具备较强的商业敏锐度、产品运营能力； 
4、创新能力强，善于提出创造性的解决问题的想法； 
5、积极主动，具备较强的逻辑思维和数据分析能力； 
6、有商务合作和管理经验的优先考虑",,产品经理,1519972793,0,a27d9b6caa,http://cnjiang.com,
2,,杭州,拱墅区,浙江,拱墅区祥茂路99号科锐6号楼3楼,ee383d7a2d16d38221c0a8f1126f3e28,public://avatar/2018/02-28/233239527190193088.png,0,f5f0a368ed7b6a14915f9d67090a517a,12050,06e9b962ff,1519916631,30369,王佳斌,,,0,0,本科,3-5年,,浙江执御信息技术有限公司,B轮,1d92a160dbc39cd8f9863f154a030b51,8966,移动互联网,产品#产品经理#移动产品经理,30.333035,https://api.neituixiaowangzi.com/files/company/2017/10-28/080733823438418227.png,120.113035,15,25,0,2000人以上,,浙江执御,,,,开放,祥茂路99号科锐6号楼3楼,,"岗位职责：
1、负责 app的需求分析和产品设计工作；
2、负责相关产品的产品功能设计、业务流程制定、交互设计和需求文档的撰写；
3、独立完成用户需求洞察,用户调查.竞品分析等相关产品工作；
4、针对业务策略以及用户需求进行研究,并设计出相应的产品功能；
5、对产品及项目负责，跟进产品研发、测试、发布、QA，协调各部门资源；

岗位要求：
1、本科以上，有3年以上互联网产品设计经验； 
2、 从事电商相关产品经理2年以上行业经验；
3、善于沟通和团队协作，较强的责任心和执行力，能够独立推进项目进度，并承受压力；
4、 有很强的产品owner意识，具备较强的逻辑思维能力、沟通协调能力和团队合作精神，具备良好的自我管理能力、环境适应能力和执行力； 
加分项：
逻辑性强、有系统性思维、创造力强，有想象力 ",,App产品经理 ,1519916631,0,e86e56d406,http://www.jollycorp.com,
3,,杭州,拱墅区,浙江,拱墅区祥茂路99号科锐6号楼3楼,ee383d7a2d16d38221c0a8f1126f3e28,public://avatar/2018/02-28/233239527190193088.png,0,f5f0a368ed7b6a14915f9d67090a517a,12050,06e9b962ff,1519916434,30369,王佳斌,,,0,0,专科,3-5年,,浙江执御信息技术有限公司,B轮,0dd6e5d91d0cc9ce881fc9c15fee2178,8965,移动互联网,产品#产品经理#产品经理,30.333035,https://api.neituixiaowangzi.com/files/company/2017/10-28/080733823438418227.png,120.113035,15,25,0,2000人以上,,浙江执御,,,,开放,祥茂路99号科锐6号楼3楼,,"职位描述：

1、负责公司WMS、TMS产品规划及设计，制定业务线长期发展目标及阶段性目标；

2、能深入到仓库了解一线操作员的基本需求，从产品上提升一线操作员的工作效率；

3、负责与相关业务部门保持良好的沟通，完成需求调研和分析，推进产品功能迭代，并且保证产品质量；

4、能够独立协调各协作部门共同推进项目计划，担任PD/PM角色，推动产品落地。

 

职位要求：

1、本科以上学历，3年以上相关经验，有互联网电商大型自营电商仓储物流系统产品设计经验；

2、头脑灵活，思维清晰，有良好的沟通表达及理解能力；

3、具备独立积极推进项目以及拿结果的能力，能按照预定计划推动项目上线，执行力强；

4、具备优秀的产品架构规划、设计能力，以及出色的PRD文档撰写能力；

5、英语6级及以上优先，有海外出差的机会；

6、熟悉仓库现场作业流程,有自动化仓储管理系统规划经验尤佳。",,WMS产品经理 ,1519916434,0,b4462f9183,http://www.jollycorp.com,
4,,杭州,拱墅区,浙江,拱墅区祥茂路99号科锐6号楼3楼,ee383d7a2d16d38221c0a8f1126f3e28,public://avatar/2018/02-28/233239527190193088.png,0,f5f0a368ed7b6a14915f9d67090a517a,12050,06e9b962ff,1519916384,30369,王佳斌,,,0,0,专科,3-5年,,浙江执御信息技术有限公司,B轮,f974f802821434777e928b1458aa1851,8964,移动互联网,产品#产品经理#产品经理,30.333035,https://api.neituixiaowangzi.com/files/company/2017/10-28/080733823438418227.png,120.113035,15,25,0,2000人以上,,浙江执御,,,,开放,祥茂路99号科锐6号楼3楼,,"岗位描述：
1. 负责移动端航旅产品的规划及方案设计，对产品整体把控；
2. 负责用户需求分析、项目进度管理；
3. 负责产品周期管理，对用户体验负责；
4. 跟踪产品数据，挖掘增长潜力，规划产品迭代，不断提升产品核心指标。

职位要求：
1. 2年以上航旅产品经理工作经验，热衷于产品创新；
2. 对工作充满激情，具有Owner的创业精神，有团队管理经验优先；
3. 具有敏感的数据意识，较强的数据分析能力，能透过数据挖掘用户痛点；
4. 具有良好的团队合作精神和沟通、表达技巧。

",,旅游产品经理 ,1519916384,0,105d6fac26,http://www.jollycorp.com,
5,,北京,朝阳区,北京,朝阳区建外SOHO(西区)16号楼1808,fbbdc1b09406408e2ebd520ecb924ba9,public://avatar/2018/03-01/163850076072563187.png,0,5cadf0ead8474c5c5be07dd7b1f52c39,1130,e9e9bd412b,1519893688,33177,张泽涛,,,0,0,本科,1-3年,,北京泊远科技有限公司,B轮,41300a4b22832719c517b83d7b0af889,8879,移动互联网,产品#产品经理#产品经理,39.90522,https://api.neituixiaowangzi.com/files/company/2017/11-30/153055236125902180.jpg,116.45365,15,18,0,150-500人,,趣学车,,,,开放,建外SOHO(西区),16号楼1808,产品经理,,产品经理,1519912874,0,84b7e003d2,,
6,,北京,海淀区,北京市,海淀区中关村东升科技园北领地,2aaad2297b0510e09218e0a88f4174ba,public://avatar/2018/03-01/203918619525693160.png,0,7c9da1c1f1c5b7a3b4610df77ee29858,18614,bb9cfc4bd1,1519908483,2272,关杉,,,0,0,本科,3-5年,,北京转转精神科技有限责任公司,A轮,788e6abb2cbfddcebfbda6939a38aed0,8930,移动互联网,产品#产品经理#产品经理,40.041947,https://api.neituixiaowangzi.com/files/company/2017/10-28/080851399596533298.png,116.357652,15,30,0,500-2000人,,转转,,,,开放,中关村东升科技园北领地,,"岗位职责： 
1.构建合理的客服产品初始架构，应对产品创新和快速发展；
2.通过产品功能和后台产品工具优化客户服务的效率和体验；
3.驱动提升平台社区氛围提升、客户满意度提升；
4.梳理和规划客户服务团队的阶段性发展目标和方向。
 
任职要求：
1.全日制统招本科及以上学历；
2. 至少 3 年的电商网站或社交网站的客服产品负责人工作经验。
3.全面熟悉 Call Center、IM 在线咨询、CRM 等面向客服人员的服务系统；
4.清楚客服运营业务流程，能够通过相关辅助系统配套解决服务效率提升，比如客服知识库、客服系统阶段性升级等；
5.具备互联网公司服务产品背景，拥有丰富的面向用户服务产品解决用户问题的经验；（比如在线 AI 等）

",,客服后台产品经理,1519908483,0,c6e8c8cdf5,http://www.zhuanzhuan.com/,
7,,北京,海淀区,北京市,海淀区中关村东升科技园北领地,2aaad2297b0510e09218e0a88f4174ba,public://avatar/2018/03-01/203918619525693160.png,0,7c9da1c1f1c5b7a3b4610df77ee29858,18614,bb9cfc4bd1,1519908446,2272,关杉,,,0,0,本科,3-5年,,北京转转精神科技有限责任公司,A轮,008e07f2ab1b117921bba7a46a5f4cd2,8929,移动互联网,产品#产品经理#产品经理,40.041947,https://api.neituixiaowangzi.com/files/company/2017/10-28/080851399596533298.png,116.357652,20,35,0,500-2000人,,转转,,,,开放,中关村东升科技园北领地,,"岗位职责：
1、负责商户管理、渠道管理系统的设计；
2、和业务运营、渠道、市场团队配合紧密；
3、推动创新性新业务，迅速抢占市场。

任职要求：
1、本科及以上学历背景，985、211名校优先；
2、3年以上互联网产品经验；
3、从0到1的电商商家后台系统设计经验，成熟的后台设计的方法论；
4、有系统性思考的能力，同时也能够快速的响应和试错，优秀的逻辑思维能力；
5、强烈的内驱性，有意愿深入一个业务领域，对于业务和市场的触觉敏锐；
6、抗压能力强，勇于挑战新事物。

",,高级产品经理,1519908446,0,c7cf5104b9,http://www.zhuanzhuan.com/,
8,,北京,海淀区,北京市,海淀区中关村东升科技园北领地,2aaad2297b0510e09218e0a88f4174ba,public://avatar/2018/03-01/203918619525693160.png,0,7c9da1c1f1c5b7a3b4610df77ee29858,18614,bb9cfc4bd1,1519908308,2272,关杉,,,0,0,本科,3-5年,,北京转转精神科技有限责任公司,A轮,d1f8fd6e77ada0911783b0347a82adec,8928,移动互联网,产品#产品经理#产品经理,40.041947,https://api.neituixiaowangzi.com/files/company/2017/10-28/080851399596533298.png,116.357652,20,30,0,500-2000人,,转转,,,,开放,中关村东升科技园北领地,,"岗位职责： 
1、负责转转核心业务转化环节的用户增长，能设计产品也能策划活动；
2、在原业务的基础上探索突破的路径，不局限思路，不经验主义； 
3、独立承担核心的方向的思考、探索、验证的流程。 
任职要求： 
1、全日制统招本科或以上经历
2、2-4年以上互联网工作经验
3、了解电商或c2c行业生态，有过用户增长项目背景优先 
4、优秀的合作沟通及资源整合能力 
5、数据敏感度高，逻辑清晰 ",,高级产品经理,1519908308,0,3cf9b28ea2,http://www.zhuanzhuan.com/,
9,,深圳,南山区,广东,南山区科兴科学园A2-1102,928927bb827ca8a6322c1aea8f37a047,public://avatar/2018/02-28/234430107116686773.png,0,f538d4a1acbde79af2a4064af1a3c899,18707,df101d9dc3,1519907285,30660,曾华青,,,0,0,专科,1-3年,,深圳英鹏信息技术股份有限公司,A轮,5daa6b51c010def03f789f2cdd66de3d,8923,移动互联网,产品#产品经理#产品助理,0,https://api.neituixiaowangzi.com/files/company/2017/10-28/080852113236838944.jpg,0,7,10,0,50-150人,,雷锋网,,,,开放,科兴科学园,A2-1102,"岗位职责：

1、负责来自公司业务需求，完成部分需求分析、产品策划、原型设计；

2、负责引导完成产品的界面、功能、流程设计；

3、负责跨部门协调和沟通，推动界面UI、开发、测试、运营等人员紧密合作达成产品目标；

4、监控产品运行效果，收集用户反馈，分析用户行为统计数据，挖掘并发现用户需求，并对产品进行持续改进；

5、对产品持续进行数据分析与挖掘，根据数据提出产品改进和新产品的具体思路；



岗位要求：

1、熟悉技术实现和开发流程，有一年以上web、app、等互联网产品工作经验；

2、熟练使用流程图、脑图、原型和办公软件等；

3、 对用户研究用户体验有一定认识，对相关数据较敏感，思维清晰有条理；

4、有责任心，有时间观念，有推动力，定时完成任务；",,产品专员,1519907285,0,9bdc0f848f,http://www.leiphone.com/,
