,addr_area,addr_city,addr_county,addr_province,address,address_hashid,avatar,bonus,company_hashid,company_id,company_url_hash,created,creator,creator_name,deadline_end,deadline_start,deleted,deletor,edu_level,exp_level,finished_date,full_name,fund,hashid,id,industry,job_category,latitude,logo,longitude,pay_range_from,pay_range_to,remain_bonus,scale,seq,short_name,skills,source,source_id,status,street,street_number,summary,summary_short,title,updated,updator,url_hash,website,work_type
0,,杭州,西湖区,浙江,西湖区昌地·火炬大厦一号楼,c3dbec17d208978e4c18871936c52f4b,public://avatar/2018/02-08/132338968379458668.png,0,7deab80aeb489b1ae91e831aa628b75c,362400,ac426a785f,1519977986,16490,文慧,,,0,0,专科,10年以上,,杭州气味王国科技有限公司,A轮,a636910efcb99d49a44d20cf71d5710c,9005,O2O,市场#高端市场职位#市场总监,30.276818,https://api.neituixiaowangzi.com/files/company/2018/02-08/132653008393007481.png,120.133690,20,30,0,50-150人,,气味王国,,,,开放,昌地·火炬大厦一号楼,,"负责电影事业部的日常团队管理，运营和业务拓展
嗅觉新市场，气味蓝海，欢迎加盟

发展历程：
未完待续
01
2017 Mar
气味王国项目获杭商“创业之星”奖项 编辑
20
2016 Dec
参加在日本举办的2016第三届世界数字嗅觉大会 编辑
01
2016 Dec
“气味王国”项目在2016“市长杯”获得最佳投资项目奖 编辑
10
2016 Oct
气味王国应邀出席以色列大学创新技术推介会 编辑
01
2016 Oct
气味王国首个数字气味体验室开始接受体验申请 编辑
01
2016 Sept
制作完成第一代产品原型 编辑
01
2015 Apr
气味王国项目正式启动 编辑

",,区域总监-气味电影-杭州,1519977986,0,c35fd56211,http://www.qiweiwangguo.com/,
1,,北京,海淀区,北京,海淀区创业公社·中关村国际创客中心,d53dca07a05723b491b1b87c9328f22e,public://avatar/2018/03-02/144353128003611159.png,0,93a19336cffea931a8636972713f3e3a,362440,78521130b2,1519973608,1740,罗亚群,,,0,0,本科,1-3年,,北京编程猫科技有限公司,B轮,9ecaf08c9678a901f378511c2484ada4,8998,移动互联网,市场#市场/营销#商务渠道,39.98227,https://api.neituixiaowangzi.com/files/company/2018/03-02/144729279769328023.jpg,116.31125,8,16,0,150-500人,,编程猫,,,,开放,创业公社·中关村国际创客中心,,市场推广,,市场推广,1519973608,0,c3e4b19227,www.codemao.cn,
2,,杭州,滨江区,浙江,滨江区网易(杭州)网络有限公司,,public://avatar/2017/12-23/125723956804231222.png,1000000,2b655e8add88977834482682d89c6c40,0,47d26abdf7,1511434904,72,王玉强,,,0,0,本科,3-5年,,网易（杭州）网络有限公司,已上市,ffe4157d29eb7f520a14809283364f9a,422,互联网,市场#市场/营销#活动策划,30.18765,https://api.neituixiaowangzi.com/files/company/2017/08-08/145003013535025692.jpg,120.19232,15,20,999319,2000人以上,,网易杭州,,,,开放,网易(杭州)网络有限公司,,"我们是谁？
一个有气质的自营电商品牌： 网易严选。

在这里你会得到什么？
世界上有两种公司，一种大，一种小（这不是废话吗）。你想要大公司完善的制度和培训带你成长，又想要创业公司的自由和不受限的大操场供你撒野，我想说，来吧，我们都有。想在大公司体验创业的感觉，这是严选能带给你的，不瞒你说，能和品牌一起成长是一件特别棒的事儿。

我们在找谁？
我们欢迎市场老鸟也不拒绝菜鸟；
我们要你既能天马行空开脑洞，又能脚踏实地做执行；
三年以上独立的品牌负责或服务经验一定能让我们眼前一亮；
如果能拿个叫的上名字的品牌案例让我们目瞪口呆那就再好不过。

你来了做什么？
你将负责网易严选中长期品牌建设和相关市场活动创意及执行；
你能明确把握严选品牌调性，不断策划优质、高度传播性的内容和线上活动；
你要统筹协调各方宣传资源、人力等，推进活动执行。

对了，我们的爸爸是网易，对，就是没事还养猪的那个。（来了猪厂，妈妈再也不担心我没饭吃了）",,网易严选品牌策划,1519972129,4765,ba5a8545d7,http://www.163.com,
3,,深圳,福田区,广东,福田区华富路1018号中航中心,6d3fa1e6b4ded73110d9df3df0dadb8b,public://avatar/2018/02-28/125127608687391081.png,0,4eb0a02dd4c7a43d7ba76914c5285e1e,37326,2bdcb6fdc7,1519965541,29372,Michael,,,0,0,本科,3-5年,,深圳宜聚互联网金融服务有限公司,不需要融资,25faa0d7ea0fd91d7d27c8177c7be056,8985,移动互联网,市场#公关媒介#媒介专员,22.54356,https://api.neituixiaowangzi.com/files/company/2017/10-30/012304192842952104.jpg,114.08195,10,12,0,2000人以上,,深圳宜聚网,,,,开放,华富路1018号,中航中心,"职责描述：
1、结合公司品牌战略制定广告投放方案，在互联网各渠道进行广告推广和投放管理工作，包括但不限于投放计划的制定与执行、出价调价、推广预算与成本控制等工作，对投放效果负责；
2、对投放效果进行数据跟踪及效果分析，出具分析报告，包括投放产品优化、调整，并进行竞争对手分析；
3、维护广告渠道、媒体资源关系，建立长期稳定的合作关系
4、行业新闻收集及竞争对手数据分析，对不利新闻展开公关活动，极力降低负面影响；
5、为公司品牌建设和推广工作提供支持。

任职要求：
1、本科及以上学历，新闻、传媒、汉语言类相关专业；2年以上广告投放相关工作经验，有金融行业经验优先。
2、具备独立思考能力以及媒体应对协调能力；
3、具有团队合作精神和良好的组织协调能力；亲和力强，良好人际沟通能力。",,媒介专员/广告投放,1519965541,0,a932f06113,https://www.1ju.com/,
4,,杭州,余杭区,浙江,余杭区良仓孵化器梦想小镇互联网村23号楼,8ce39788d9a82d0b2a1ddaa9f13579a4,public://avatar/2018/01-09/192024001860554049.png,0,f6f57ed8643799e7ae78be55a360de6e,1171,95157c9cef,1519956005,10927,张炜琦,,,0,0,本科,1-3年,,无锡明如传媒有限公司,不需要融资,e95dc6add5bd53e428227ca7bd95e891,8970,文化娱乐,市场#公关媒介#媒介专员,30.29313,https://api.neituixiaowangzi.com/files/company/2017/10-28/081224379846866735.jpg,120.00495,4,6,0,少于15人,,明如传媒,,,,开放,良仓孵化器,梦想小镇互联网村23号楼,"工作职责 
1.负责经纪人团队管理，KPI考核，同时引进优秀经纪团队  2.主播日常工作管理，直播时长、内容考核 
3.负责维护经纪人、主播工作，解决日常问题; 
4.直播内容的定期培训，直播内容的规范及创作 
5.工作积极主动、善于学习  

工作要求：  
1.本科以上学历，熟悉直播运营 
2.有优质主播资源的优先考虑  
3.热爱传媒直播行业，工作认真并有进取心 
4.有创意有想法，执行力强

公司福利： 
1.五险一金：公司为每个员工缴纳社保和公积金; 
2.年底福利：0-5个月奖金，创业公司必须和员工分享劳动成果啦，公司越赚钱，你的奖金越多啦； 
3.吃货福利：这个必须有； 
4.公司团建：公司提倡休息的好才能做得好，不定期组织团建活动； 
5.节假日福利：好玩的节日必须有好玩的活动。   

必须知道： 
1.工作时间：上班时间：09:00-18:00，周末双休，全部按法定节假日来； 
2.公司地址：杭州市余杭区良睦路1399号梦想小镇互联网村 
3.阿里做事风格：能力越高，责任越大，回报越多，看你要哪一个； 
4.薪资构成：所有业务岗薪酬=固定工资+绩效奖金，固定工资根据不同岗位职级进行划分，绩效奖金按季度考核，根据考核标准发放奖金。 
",,媒介专员,1519959912,0,fd747e910c,http://mp.weixin.qq.com/s/B-v1rSNPCygV5ye-LZ859g,
5,,深圳,福田区,广东,福田区深圳市人才园,e32f040a880cfb37d7dc3bf8acbf4210,public://avatar/2018/03-01/123756462704967171.png,0,17a5af09f2ddbb2bf0a52a1cfd4d2ede,235775,43fb3b755e,1519913528,32437,陈施燕,,,0,0,本科,3-5年,,深圳市一览网络股份有限公司,未融资,43519d73b10cd2498058a5bdc72a6c6a,8945,社交网络,市场#市场/营销#政府关系,22.53216,https://api.neituixiaowangzi.com/files/company/2017/11-30/101217895433844535.png,114.01039,8,15,0,500-2000人,,一览,,,,开放,深圳市人才园,,"岗位职责：
1、能够透彻理解公司战略规划，负责各省、市、区政府人力资源项目的资源整合与获取；
2、建立企业与政府的公关系统，与相关政府机构建立并保持良好的关系；
3、与政府相关部门（人力资源与社会保障厅、地方人社局、211、985高校就业中心）进行沟通，推进、促成公司与政府开展人力资源项目合作、项目申报等；
4、负责制定项目方案，并组织实施；
5、从产业转型及政策导向方面优化完善项目合作。
任职要求： ​
1、本科及以上学历，具有较佳的个人形象和气质；
2、从事政府公共关系工作3年以上，能独立编写申报材料，能独立主导行业内大型会议活动；
3、对各类国家政策、法律、法规有一定的了解，熟悉省、市级、区级人力资源奖励项目和相关政策；
4、较强的观察力和应变能力，优秀的人际交往和协调能力，极强的社会活动能力；
5、高度的工作热情，良好的团队合作精神，较强的、沟通能力、应变能力强，有敏锐的观察力和信息把握能力，有较强的口头和文字表达能力。",,政府项目经理,1519913528,0,e8071eb36e,http://www.yl1001.com,
6,,广州,荔湾区,广东,荔湾区广州火狐珠宝创意园4楼,28bf390cb19f1de498d8bdbdee729d95,public://avatar/2018/03-01/203607921804121129.png,0,a48c762869f591ec545f27c848c69c0a,48196,06ff8b3ed7,1519908851,33671,张聪,,,0,0,专科,1-3年,,深圳市对庄科技有限公司,A轮,7f62f8165aa890b6bd338f1cf0411ad9,8936,移动互联网,市场#市场/营销#SEM,23.11808,https://api.neituixiaowangzi.com/files/company/2017/10-28/081516263426108136.png,113.24337,6,12,0,15-50人,,对庄科技,,,,开放,广州火狐珠宝创意园,4楼,"工作职责：
1、主负责公司旗下电商APP在各搜索引擎上的广告投放，优化关键词排名，提升流量的转化；
2、分析、研究及监控竞争对手和各平台搜索引擎的做法和变化，及提出调整推广方案，
2、每日统计各推广渠道及计划、创意的数据，分析后续转化，进行关键词增删、人群优化、创意&素材更换；

入职要求：
1、大专以上学历，学历不限；
2、精通SEM优化策略，熟悉操作各搜索引擎竞价账户后台；  
3、做事主动，善于数据分析，并从中发现问题，找到解决问题方法；",,SEM,1519908851,0,71421e6dd7,https://itunes.apple.com/cn/app/dui-zhuang-fei-cui-yuan-tou/id982906456?mt=8,
7,,北京,海淀区,北京市,海淀区中关村东升科技园北领地,2aaad2297b0510e09218e0a88f4174ba,public://avatar/2018/03-01/203918619525693160.png,0,7c9da1c1f1c5b7a3b4610df77ee29858,18614,bb9cfc4bd1,1519908688,2272,关杉,,,0,0,本科,3-5年,,北京转转精神科技有限责任公司,A轮,d2815e4869acca1f9abc3db5abfd6e04,8933,移动互联网,市场#公关媒介#媒介经理,40.041947,https://api.neituixiaowangzi.com/files/company/2017/10-28/080851399596533298.png,116.357652,18,30,0,500-2000人,,转转,,,,开放,中关村东升科技园北领地,,"岗位职责：
1、 有丰富互联网危机管理经验，有一定互联网媒体资源优势
2、 负责品牌危机公关工作，懂危机处理原则，对信息及新闻舆情等方向有较强敏锐度，适时做好舆情监测工作
3、 整体策划并执行把控品牌危机管理，有效处理危机公关，熟悉危机处理流程，主导制定品牌危机体系搭建，积极正面维护品牌和企业形象，对消费者投诉及内外部应急公关向事件可准确给出判断策略方向及建议协调并执行落地
4、 有一定分析行业信息及竞品pr信息的能力
5、 及时快速响应危机突发事务，合理调动内外部资源对风险进行评估及把控，执行力强
任职要求：
1、全日制统招本科或以上学历；
2、3-5年媒体关系、媒体策略公关经验；熟悉互联网行业媒体；
3、撰写行业或深度稿件，提升品牌影响力；
4、开拓与维护核心媒体资源，包括但不限于平面媒体或网络媒体、新媒体；
5、组织媒体传播与活动，维持产品在行业端声量；
6、监控业务舆情，发掘潜在危机并进行拦截处理；
7、建立完善的危机管理体系，按照不同的危机等级制定相应的应对机制；
8、创新传播方式与媒介。

",,高级公关经理（媒介方向）,1519908688,0,4de2642bf3,http://www.zhuanzhuan.com/,
8,,北京,海淀区,北京市,海淀区中关村东升科技园北领地,2aaad2297b0510e09218e0a88f4174ba,public://avatar/2018/03-01/203918619525693160.png,0,7c9da1c1f1c5b7a3b4610df77ee29858,18614,bb9cfc4bd1,1519908639,2272,关杉,,,0,0,本科,5-10年,,北京转转精神科技有限责任公司,A轮,43c8d0cdcee586ab043d504e18777d09,8932,移动互联网,市场#公关媒介#品牌公关,40.041947,https://api.neituixiaowangzi.com/files/company/2017/10-28/080851399596533298.png,116.357652,15,25,0,500-2000人,,转转,,,,开放,中关村东升科技园北领地,,"岗位职责：
1、 有较强创意策划能力，综合分析能力，熟悉互联网行业
2、 制定和组织该品牌的年度、季度公关计划，独立完成公关活动
3、 根据品牌及市场需求制定转转品牌公关的战略和战术，传播策略、预算把控、供应商管理工作，且根据现状分析及内容，实时有效调整公关方向
4、 负责内外公关协调工作，对公关调查、策划、实施和评估的过程及质量进行控制
5、 善于积累相关资源、拓展相关（媒体、渠道）资源、维护资源，协调内外部沟通，使得传播效果最大化
6、 具有危机公关的意识及应变能力
7、 与团队保持良好工作关系
任职要求：
 职位要求：
1、全日制统招本科或以上学；
2、 5年公关策划相关经验；
3、 有全面负责互联网交易类PR项目及管理经验优先；
4、 具备用户洞察能力，文案撰写能力较强，调动内外部资源能力强；
5、 侧重口碑营销，话题事件营销能力经验。
",,高级公关经理（偏整合营销方向）,1519908639,0,5e3858ff89,http://www.zhuanzhuan.com/,
9,,广州,荔湾区,广东,荔湾区广州火狐珠宝创意园4楼,28bf390cb19f1de498d8bdbdee729d95,public://avatar/2018/03-01/203607921804121129.png,0,a48c762869f591ec545f27c848c69c0a,1152,06ff8b3ed7,1519908061,33671,张聪,,,0,0,本科,1-3年,,深圳市对庄科技有限公司,A轮,2f9f06e1608ef7953403c8e759f15d73,8927,移动互联网,市场#市场/营销#SEO,23.11808,https://api.neituixiaowangzi.com/files/company/2017/10-28/081516263426108136.png,113.24337,6,12,0,15-50人,,对庄科技,,,,开放,广州火狐珠宝创意园,4楼,"职位描述：
岗位职责：
1、负责公司产品官网（电商平台网站）全站的关键词建设，提高网站PR，优化关键词在搜索引擎的排名，带来持续访客；
2、建设网站内容（内容部分），持续更新覆盖更多长尾关键词，提高网站的页面收录量；
3、在第三方媒介上推广产品品牌；
4、自媒体内容引流；

任职要求：
1、大专以上学历
2、至少1年以上网站推广经验；
3、熟悉SEO技巧，了解各搜索引擎的排名机制
3、有好奇心，能持续学习新的推广方法论，并能付诸实践；

工作地址",,SEO,1519908176,0,3b14ee9fe2,https://itunes.apple.com/cn/app/dui-zhuang-fei-cui-yuan-tou/id982906456?mt=8,
