,addr_area,addr_city,addr_county,addr_province,address,address_hashid,avatar,bonus,company_hashid,company_id,company_url_hash,created,creator,creator_name,deadline_end,deadline_start,deleted,deletor,edu_level,exp_level,finished_date,full_name,fund,hashid,id,industry,job_category,latitude,logo,longitude,pay_range_from,pay_range_to,remain_bonus,scale,seq,short_name,skills,source,source_id,status,street,street_number,summary,summary_short,title,updated,updator,url_hash,website,work_type
0,,深圳,福田区,广东,福田区华富路1018号中航中心,6d3fa1e6b4ded73110d9df3df0dadb8b,public://avatar/2018/02-28/125127608687391081.png,0,4eb0a02dd4c7a43d7ba76914c5285e1e,37326,2bdcb6fdc7,1519965406,29372,Michael,,,0,0,本科,3-5年,,深圳宜聚互联网金融服务有限公司,不需要融资,76821f92ff38a6d9901ffbb82980f0bb,8984,移动互联网,职能#人力资源#绩效考核,22.54356,https://api.neituixiaowangzi.com/files/company/2017/10-30/012304192842952104.jpg,114.08195,7,9,0,2000人以上,,深圳宜聚网,,,,开放,华富路1018号,中航中心,"岗位职责：
1、协助绩效考核体系的建设和完善工作，绩效管理各项制度及流程的督导与执行；
2、统筹、跟进各部门制定及分解相应的绩效考核目标和工作计划进度；
3、组织协调各部门实施绩效考核工作，收集、整理绩效考核数据资料；
4、对绩效数据进行分析，有针对性地提出绩效改善建议及措施；
5、协助各部门进行绩效改善工作。

任职要求：
1、 本科及以上学历，人力资源管理、经济管理等相关专业优先考虑；
2、 3年以上工作经验，1年以上绩效考核管理专职工作经验，熟悉KPI等绩效考核工具；
3、 逻辑思维缜密、对数字敏感，熟悉office办公软件，精通excel操作；
4、 具有较强的组织协调、学习能力，执行力强，有责任心。",,绩效专员,1519965406,0,dbe7d9eb13,https://www.1ju.com/,
1,,深圳,福田区,广东,福田区华富路1018号中航中心,6d3fa1e6b4ded73110d9df3df0dadb8b,public://avatar/2018/02-28/125127608687391081.png,0,4eb0a02dd4c7a43d7ba76914c5285e1e,1180,2bdcb6fdc7,1519963259,29372,Michael,,,0,0,本科,3-5年,,深圳宜聚互联网金融服务有限公司,不需要融资,9e341140849a692c50592e4c3dd3dda4,8982,移动互联网,职能#行政#行政专员/助理,22.54356,https://api.neituixiaowangzi.com/files/company/2017/10-30/012304192842952104.jpg,114.08195,7,9,0,2000人以上,,深圳宜聚网,,,,开放,华富路1018号,中航中心,"岗位职责：
1.贯彻落实总部行政管理制度和标准，负责对各分公司行政事务的管控；
2.负责各分公司行政费用的审批及报销审核工作；
3.负责前期开展新分公司拓展及筹备工作。

任职资格：
1. 25~45岁，本科及以上学历；行政管理等相关专业优先；
2. 三年以上行政管理工作经验或行政费用管控经验者优先；
3. 工作细致认真，态度积极，处事冷静，能灵活处理各类突发事件；
4. 具备良好的口头及书面表达能力，性格开朗，具亲和力。",,行政专员/助理,1519963608,0,aa8ce4e8bd,https://www.1ju.com/,
2,,深圳,南山区,广东,南山区科兴科学园A2-1102,928927bb827ca8a6322c1aea8f37a047,public://avatar/2018/02-28/234430107116686773.png,0,f538d4a1acbde79af2a4064af1a3c899,18707,df101d9dc3,1519906520,30660,曾华青,,,0,0,专科,应届生,,深圳英鹏信息技术股份有限公司,A轮,be82b6575b51b5ca6f6a304571b158e6,8921,移动互联网,职能#行政#行政专员/助理,0,https://api.neituixiaowangzi.com/files/company/2017/10-28/080852113236838944.jpg,0,4,6,0,50-150人,,雷锋网,,,,开放,科兴科学园,A2-1102,"【岗位职责】
1、负责前台电话的接听及转接，收发公司信件、文件、快递等；
2、负责日常办公用品采购，保证办公所需物资的充足（如水、纸、设备、耗材及报销单据表格等）及费用结算；
3、综合管理行政事务，包括会议协助准备、访客接待、商旅预订等；
4、协助组织公司各位企业文化活动及员工关怀活动；
5、行政电子考勤系统的日常处理：如异常刷卡表、出勤日报表等；
6、协助组织公司各位企业文化活动及员工关怀活动；
7、完成上级交给的其它事务性工作。



【任职要求】
1、五官端正，颜值高，萌妹子；
2、内外兼修，能吃苦耐劳，懂得基本商务礼仪，大专或以上学历；
3、只要你有学习的意愿，经验不是最重要的，不过word、excel等常用办公软件你还是要懂的；
4、性格开朗，积极热情，能与小伙伴们打成一片。",,行政专员兼前台,1519908043,30660,1a4fe085c9,http://www.leiphone.com/,
3,,北京,朝阳区,北京,朝阳区极地国际创新中心,161b2256b7f9d8cc36b3ee13894fc037,public://avatar/2018/03-01/185217174799283798.png,0,ce66ef05b92fcad707441e6fc56d18bc,362435,22b7b70ac6,1519905528,33516,李一舟,,,0,0,专科,3-5年,,北京一舸科技有限公司,A轮,292619c7743e211780233b6365ddd55b,8915,电子商务,职能#财务#出纳,39.98443,https://api.neituixiaowangzi.com/files/company/2018/03-01/185506723634988683.jpg,116.49837,5,8,0,少于15人,,一舸科技,,,,开放,极地国际创新中心,,"已有财务主管，配合她，做好出纳工作。
同时，兼顾一部分行政工作。",,出纳,1519905528,0,1885c7a12d,,
4,,北京,海淀区,北京,海淀区祁家豁子2号楼一层113,9ec9b420796bfd6c170fad78af55e898,public://avatar/2018/03-01/182735323270065851.jpg,0,2595f81ac5cb9285ccca0543c4260382,82,cd9649e0eb,1519901363,33424,张总监,,,0,0,专科,不限,,热爱健康管理咨询（北京）有限公司,天使轮,c7ca811ae66dd487ffd0bc6428721cda,8912,互联网,职能#行政#行政专员/助理,39.97652,https://api.neituixiaowangzi.com/files/company/2017/09-21/100853578064723770.jpg,116.37963,4,7,0,少于15人,,热爱健康,,,,开放,祁家豁子2号楼,一层113,".职位描述
助理
行政
数据管理
文员
后勤
职位诱惑: 大平台，高福利,项目先进
1、
全日制大专及以上学历;
熟悉办公软件;
2、熟练操作计算机，
3、有数据标注经验优先;
4、态度端正，细心,耐心，对标注结果负责任，能承担大数据量的数据标注任务。
5、工作内容及职责: 对文本、语音等数据按照特定任务要求进行人工标注，并进行简单的标注结果统计。",,行政专员/助理,1519901363,0,1204cad467,www.reai120.com,
5,,深圳,南山区,广东,南山区海信南方大厦1807,524e3b996e5c7e52026eb9caa520a56f,public://avatar/2018/03-01/174116075165187363.png,0,96a35c2e9faedc7057468ab76585444b,35103,aec6f3ef52,1519897943,33324,尚文欢,,,0,0,本科,不限,,深圳市前海房极客网络科技有限公司,A轮,e51cf6e4b92ca8a02d287fb4b7c7a3ea,8901,移动互联网,职能#人力资源#人力资源专员/助理,22.51229,https://api.neituixiaowangzi.com/files/company/2017/10-28/083155015540138206.png,113.94064,4,8,0,50-150人,,房极客,,,,开放,海信南方大厦,1807,"工作职责：
1,处理人事各种流程;
2,协助招聘；
3,负责公司行政相关工作;
4,员工关系维护。

职位要求：
1,工作认真，细致，谨慎；
2,个性开朗豁达;
3,善于倾听，有耐性；
4,较强抗压能力。",,人事行政专员,1519897943,0,bde9f03bfc,http://www.fanggeek.com,
6,,北京,朝阳区,北京市,朝阳区望京SOHOT1B座,9005c4757cd89fa0aa62d246169f5c21,public://avatar/2018/03-01/003757825025061761.png,0,edd56f92553b79bd6d0bea8217446214,362433,9a52028167,1519895749,1827,s.,,,0,0,本科,1-3年,,北京上佳状态科技有限公司,天使轮,7c135df24765f6e9ec262d1abbb76e16,8891,社交网络,职能#人力资源#招聘,39.996806,https://api.neituixiaowangzi.com/files/company/2018/03-01/170513029838511485.jpg,116.480788,8,16,0,15-50人,,上佳状态,,,,开放,望京SOHOT1B座,,"职位描述
1、收集、整理各部门招聘需求；
2、跟进、拓展招聘渠道，优化招聘流程；
3、执行人才搜索和寻访计划。甄选、评估候选人匹配度；
4、负责新员工入、离职手续办理及人员基础信息维护；
5、负责员工社保、公积金等事项；

职位要求
1、统招本科及以上学历； 
2、2年以上互联网人事经验，熟悉技术，产品，市场，运营岗位招聘；
3、良好的项目执行能力和推进能力；
4、优秀的沟通能力和解决问题能力，具备服务意识；
5、有猎头经验优先；
6、自我驱动力强者优先。",,人事经理,1519895749,0,6f28878492,https://qunqun.io,
7,,北京,朝阳区,北京市,朝阳区望京SOHOT1B座,9005c4757cd89fa0aa62d246169f5c21,public://avatar/2018/03-01/003757825025061761.png,0,edd56f92553b79bd6d0bea8217446214,362433,9a52028167,1519895709,1827,s.,,,0,0,本科,1-3年,,北京上佳状态科技有限公司,天使轮,c5b5954aa413fe8049bb2e898ce81280,8890,社交网络,职能#财务#出纳,39.996806,https://api.neituixiaowangzi.com/files/company/2018/03-01/170513029838511485.jpg,116.480788,6,12,0,15-50人,,上佳状态,,,,开放,望京SOHOT1B座,,"要求：责任心强、工作细致认真、沟通能力强，善于想办法，处事果断，注重工作效率。
全面负责公司的行政、出纳事宜，及部分人事助理工作，包括：
1、负责员工的考勤、档案管理，及一般文件的起草和行政人事文的管理；
2、现金、银行存款的收付，登记、记帐，日常报销，工资核算，外汇结算，纳税申报，查帐。
3、及时办理相关证件的注册、登记、变更、年检等手续；
4、组织公司各种活动的策划；
5、负责办公用品采购计划制定及物品领取管理。",,行政/出纳,1519895709,0,9c5b7e6911,https://qunqun.io,
8,,北京,朝阳区,北京,朝阳区北沙滩1号院,1d2d766f5118942ded45cc19999c3074,public://avatar/2018/03-01/164036643902131165.png,0,0a1af6e9986c2accd03c026160141f3d,18665,a5fb3830f4,1519894706,33182,张强,,,0,0,本科,1-3年,,北京猴面包树科技有限公司,A轮,756de1aedced877103cc09c50eef8b55,8883,移动互联网,职能#行政#行政专员/助理,40.0047,https://api.neituixiaowangzi.com/files/company/2017/10-28/080852445233118981.jpg,116.37456,4,6,0,15-50人,,开眼 Eyepetizer,,,,开放,北沙滩1号院,,"职位描述：
主要工作：

出纳工作：
负责各部门报销单据的审核，日记账的登记工作；
发票的购买、开具及相关的保管、登记工作；
合同及档案的管理、登记工作；
配合会计完成记账报税工作。

行政工作：
员工餐饮、零食、办公用品的采购工作；
策划组织员工TB及年会等活动。
福利体系策划，为员工提供较好的福利体验。

职位要求：
1. 本科及以上学历，有行政或出纳相关工作经验者优先；
2. 熟悉互联网公司文化和氛围；
3. 亲和力强，喜爱和人打交道，擅长内外部沟通；
4. 细心踏实，有条理，愿意专注地做好每件小事；
5. 拥有较高的抗压能力，有较强的独立学习和工作的能力；
6. 有自己热爱的生活方向，有高效的自我管理能力。

",,出纳兼行政 ,1519894706,0,78027bf04f,http://eyepetizer.net,
9,,北京,朝阳区,北京,朝阳区北沙滩1号院,1d2d766f5118942ded45cc19999c3074,public://avatar/2018/03-01/164036643902131165.png,0,0a1af6e9986c2accd03c026160141f3d,1134,a5fb3830f4,1519894601,33182,张强,1520265600,1519833600,0,0,本科,1-3年,,北京猴面包树科技有限公司,A轮,a31fe5f6d3dad6e164a2fbb1fec67f77,8882,移动互联网,职能#人力资源#HRBP,40.0047,https://api.neituixiaowangzi.com/files/company/2017/10-28/080852445233118981.jpg,116.37456,8,15,0,15-50人,144,开眼 Eyepetizer,,,,开放,北沙滩1号院,,"职位描述：
主要职责:

1. 组织实施人才招聘，拓展和维护招聘渠道，利用各种有效招聘途径满足招聘需求，建立相应的人才库
2. 应用专业理论、方法、工具，为业务团队提供全方位解决方案，包括招聘、培训、绩效、员工关系等，协助业务部门提升组织绩效
3. 企业文化和价值观建设，搭建公司和员工之间的信息桥梁，与管理层及员工进行多种形式的接触和沟通，营造积极的工作氛围
4. 公司人事异动手续办理，包括但不限于：入职、转正、调岗、调薪、离职、劳动合同的续签、变更等
5. 通过人事机构合作，完成社保、公积金、补充医疗、工作居住证和实习生的日常运营

职位要求：
1. 两年以上人力资源经验，有互联网行业招聘及 HRBP 工作经验者优先
2. 了解人力资源各模块基本工作，具备招聘、员工关系两个及以上模块的实操经验，熟悉国家相关的政策、法律法规
3. 自我驱动，思考力强，认真负责，有亲和力和团队合作精神，能承担较大的工作压力，能独立解决复杂的人事管理问题
4. 认同企业文化，能适应创业公司快速发展的工作节奏",,HRBP,1519894645,0,e2f46ae795,http://eyepetizer.net,
