,addr_area,addr_city,addr_county,addr_province,address,address_hashid,avatar,bonus,company_hashid,company_id,company_url_hash,created,creator,creator_name,deadline_end,deadline_start,deleted,deletor,edu_level,exp_level,finished_date,full_name,fund,hashid,id,industry,job_category,latitude,logo,longitude,pay_range_from,pay_range_to,remain_bonus,scale,seq,short_name,skills,source,source_id,status,street,street_number,summary,summary_short,title,updated,updator,url_hash,website,work_type
0,,上海,徐汇区,上海,徐汇区延安西路南侧停车场,dfe2598a4ad0d98eaabcc6ee797c9eef,public://avatar/2018/03-02/141449093871515861.png,0,54cf0670cd35a8d6d5dcd2508ebf2912,361023,a6e20f2d4e,1519972736,34548,杨勇,,,0,0,高中,不限,,上海顺风餐饮有限公司,未融资,f1a9a72e44a52c9b34e36a901bdd3d81,8992,企业服务,销售#销售#销售专员,31.15701,https://api.neituixiaowangzi.com/files/company/2018/03-02/143812709823553952.png,121.45336,3,6,0,2000人以上,,顺风大酒店,,,,开放,延安西路南侧停车场,,销售,,销售专员,1519973550,0,b69f609b83,,
1,,上海,浦东新区,上海市,浦东新区周东路与年家浜东路交叉口年家浜路1号（可就近分配）,2921d574b9202ff6c11c43c430f62998,public://avatar/2018/03-02/142614714055711735.jpg,0,a57508007333e470da70ad9921c7147b,1186,63e307cafc,1519972397,32885,周慧,,,0,0,不限,不限,,上海瑞丛投资管理有限公司,天使轮,7ccc1ef4cd8e18c385f14ee80af6f9b4,8990,生活服务,销售#销售#销售专员,31.114104,https://api.neituixiaowangzi.com/files/company/2018/03-02/142341120444054442.jpg,121.587395,5,10,0,500-2000人,,瑞阳不动产,,,,开放,周东路与年家浜东路交叉口,年家浜路1号（可就近分配）,"待遇： 薪资：无责任底薪3000~5000。
提成：30%~60%的统提（在所有大中型房地产中介公司中提成最高，并且不会扣除个人所得税）、租赁50%提成（当天租出的房子，当天就能将佣金收入自己口袋）。
住宿：公司在上海浦东有54家分店，可以根据住址就近分配，公司也可以额外提供免费住宿
工作时间：既然选择了房产经纪人这项职业等于选择了辛苦与高薪，作息时间是早上9点到晚上9点，中午休息两个小时，做六休一，工作时间完全自由，公司不会管你，你可以去任何地方以任何方式拉客源（网络、电话或者面谈），只需打上班卡和下班卡即可。
瑞阳不动产的人均收入常年第一，靠的就是公司对员工的信任。
选择瑞阳就选择了高薪和家人般的温暖，这点也只有进来了才能体会的到。",,置业顾问,1519972467,0,02ff52a8e7,,
2,,上海,浦东新区,上海市,浦东新区周东路与年家浜东路交叉口年家浜路1号（可就近分配）,2921d574b9202ff6c11c43c430f62998,public://avatar/2018/03-02/142614714055711735.jpg,0,a57508007333e470da70ad9921c7147b,1186,63e307cafc,1519972340,32885,周慧,,,0,0,专科,不限,,上海瑞丛投资管理有限公司,天使轮,edc9ee84b53f567db438518af48b2ce5,8989,生活服务,销售#销售管理#团队经理,31.114104,https://api.neituixiaowangzi.com/files/company/2018/03-02/142341120444054442.jpg,121.587395,5,10,0,500-2000人,,瑞阳不动产,,,,开放,周东路与年家浜东路交叉口,年家浜路1号（可就近分配）,"待遇： 薪资：无责任底薪5000。
提成：30%~60%的统提（在所有大中型房地产中介公司中提成最高，并且不会扣除个人所得税）、租赁50%提成（当天租出的房子，当天就能将佣金收入自己口袋）。
住宿：公司在上海浦东有54家分店，可以根据住址就近分配，公司也可以额外提供免费住宿
工作时间：既然选择了房产经纪人这项职业等于选择了辛苦与高薪，作息时间是早上9点到晚上9点，中午休息两个小时，做六休一，工作时间完全自由，公司不会管你，你可以去任何地方以任何方式拉客源（网络、电话或者面谈），只需打上班卡和下班卡即可。
瑞阳不动产的人均收入常年第一，靠的就是公司对员工的信任。
选择瑞阳就选择了高薪和家人般的温暖，这点也只有进来了才能体会的到。",,管培生,1519972464,0,aea4900b60,,
3,,深圳,福田区,广东,福田区深圳市人才园,e32f040a880cfb37d7dc3bf8acbf4210,public://avatar/2018/03-01/123756462704967171.png,0,17a5af09f2ddbb2bf0a52a1cfd4d2ede,1109,43fb3b755e,1519910243,32437,陈施燕,,,0,0,专科,1-3年,,深圳市一览网络股份有限公司,未融资,214c6cee5e9d6bac6f6b9f9e011683cf,8938,社交网络,销售#销售#大客户代表,22.53216,https://api.neituixiaowangzi.com/files/company/2017/11-30/101217895433844535.png,114.01039,10,15,0,500-2000人,,一览,,,,开放,深圳市人才园,,"
岗位职责：
1、通过电话、拜访、招投标等多种方式开发和维护优质大客户资源
2、深度挖掘客户需求，持续做好客户维护及需求二次开发，为客户定制人事服务解决方案，多角度、专业化的呈现服务项目及服务效果，提升客户满意度；
3、把握销售机会点，与客户达成合作意向、签单，完成销售任务；
4、及时反馈客户需求、市场变化，提出新行销思路、建议
任职要求：
1、大专以上学历；熟悉人力资源行业
2、3年以上一线销售工作经验，至少1年项目销售或方案销售从业经验；
3、出众的沟通表达能力，优秀的商务谈判和促单能力；
4、工作主动性强，有较强的创新能力，能在高强度下完成销售任务。",,大客户代表,1519912872,0,3714660b43,http://www.yl1001.com,
4,,深圳,南山区,广东,南山区科兴科学园A2-1102,928927bb827ca8a6322c1aea8f37a047,public://avatar/2018/02-28/234430107116686773.png,0,f538d4a1acbde79af2a4064af1a3c899,18707,df101d9dc3,1519905544,30660,曾华青,,,0,0,专科,1-3年,,深圳英鹏信息技术股份有限公司,A轮,b230df23dccd2a544368e4cc3c586acc,8916,移动互联网,销售#销售#广告销售,0,https://api.neituixiaowangzi.com/files/company/2017/10-28/080852113236838944.jpg,0,7,14,0,50-150人,,雷锋网,,,,开放,科兴科学园,A2-1102,"职位描述：

岗位职责：

1. 负责公司新媒体服务的销售工作，并完成公司的业绩目标；

2. 了解客户需求，能够针对客户需求制定传播方案；

3. 参与制定合作策略、协调公司各部门的销售执行；



岗位要求：

1、熟悉互联网及新媒体商务合作模式，热爱科技行业，善于拓展客户资源；

2、较强的学习能力，能自主学习行业知识并具备一定的方案策划能力；

3、工作积极主动，富有责任感，职场心态成熟，适应互联网团队的文化和节奏；

4、熟悉科技行业尤其是人工智能领域，有以上行业从业经验者优先；

一句话：了解互联网营销与广告，熟悉科技行业，并享受“完成挑战-高额回报”的工作节奏!

工作地址",,高级商务经理,1519905544,0,d5b166fe28,http://www.leiphone.com/,
5,,杭州,江干区,浙江,江干区下沙街道松合社区克亚时代广场1幢1314室,5220440725464e3f943edbafc7f11e9d,public://avatar/2017/12-25/102944409805447104.png,0,598e98c94275dcdaa99530193cbd3329,63040,43b758f772,1519893256,1228,陈留军,,,0,0,专科,1年以内,,杭州飞果网络科技有限公司,未融资,59e24ce0c524e01647457b7e59288a76,8878,IT软件,销售#销售#客户代表,30.31496,,120.31665,5,8,0,少于15人,,飞果科技,,,,开放,下沙街道松合社区,克亚时代广场1幢1314室,"岗位职责：
1、为企业提供互联网技术服务，包括小程序开发、APP开发、建站、技术支持等；
2、开发新客户，拓展与老客户的业务，并维护好客户关系，稳定长期合作关系； 
3、能够独立完成销售目标，开发客户、谈判、签约，实现既定业绩收入；
4、根据市场营销计划，完成部门销售指标。 
 
岗位要求： 
1、专科及以上学历，有互联网类产品销售经验的优先；
2、有较强学习能力，具有市场营销及挖掘客户能力；
3、性格外向、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧、具有亲和力； 
4、对工作有激情、勤奋努力、抗压能力强，团队合作意识强，具有挑战精神和职业规划目标，能承受一定工作压力。

我们是互联网公司，拥有自己的产品，技术团队成熟。如果你来杭州也是满怀梦想和野心，如果你希望3年内买车5年内买房，如果你10年内周游世界，都欢迎来聊聊，相信你会有收获的。",,客户代表,1519893256,0,33273f3e05,www.feiguonet.com,
6,,北京,朝阳区,北京,朝阳区大望路电影产业园1-8,9bd59faf55fe52ac4e608ee0d70cbb5b,public://avatar/2018/03-01/151551482641631159.png,0,a06041157a395eeb823ea264291ddca3,362432,9327b96e31,1519890759,32993,张越,,,0,0,不限,不限,,北京新锐移动信息技术有限公司,B轮,9f4c841be054a359b4b91b9e6f99df67,8874,文化娱乐,销售#销售#客户代表,39.90513,https://api.neituixiaowangzi.com/files/company/2018/03-01/151917935945279199.jpg,116.48294,5,10,0,50-150人,,校花驾到,,,,开放,大望路电影产业园,1-8,"新锐杂志 校花驾到招全职主播，
要全职，有保底。
手机电脑随时随地都可直播，绿色平台，

有兴趣的可以私聊，新主播刚开始发展前几天可能收益很少，因为没粉丝可能第一个星期每天就十几块几十块，但坚持一个星期后会有明显改善，坚持一个月后每天几百几千都有可能。颜值低没耐心打酱油没上进心没自信的勿扰。

时间多的优先 ",,网络主播,1519890759,0,183133e7e9,www.xrui.net,
7,,广州,天河区,广东,天河区财富广场东塔2405-2406,e3145f312cf942573f6ffd1f5a404b7b,public://avatar/2018/03-01/092418217863435466.png,0,93a7323dd76f2cd74df3dad91ed17799,315647,fbc0026a26,1519877058,32116,陈瑞芳,,,0,0,专科,5-10年,,广州优植生物科技有限公司,未融资,8a2d61446f97304ef33277fa27d448a6,8851,电子商务,销售#销售管理#销售总监,23.136186,https://api.neituixiaowangzi.com/files/company/2017/11-30/154532811981288242.jpg,113.329109,30,50,0,150-500人,,朵拉朵尚,,,,开放,财富广场东塔,2405-2406,"工作职责：
1、负责公司产品全国微商渠道的客户开发、维护、管理；
2、负责微商项目的运营、培训、管理等工作，制定出切实可行的销售方案及执行计划，增强品牌认知度和关注度；
3、负责组织微商相关的推广计划及代理商招募活动；
4、根据公司销售计划，完成月度、年度销售任务；
5、负责微商运营相关数据的分析和运营策略的修改和完善；
6、保持与客户的良好沟通，维系长久的合作关系。
任职资格：
1、熟悉微商及移动互联网推广，具有微商成功运营案例；
2、有微商项目的独立操盘运营能力以及微商团队的招商和组建能力；
3、擅长会员管理、数据营销、朋友圈打造及活动文案策划优先；
4、有整体市场运作战略，市场启动政策，以及线上分销规则和制定；
5、具有较强的沟通表达能力，谈判能力、抗压能力、应变能力；
6、有化妆品行业经验者优先。
我有平台，有好产品，你有能力有追求，携手共进！
在朵拉朵尚，我们会为您提供：
1、舒适的办公环境：甲级商业办公楼，环境优美怡人；
2、便捷的交通：地铁上盖、公交下车即到；
3、人性化的工作时间：考勤不打卡、每日7.5小时工作制，周末双休；
4、奖金福利多多：五险一金、年终奖、全勤奖、绩效奖金、节日福利、下午茶、各项补贴、不定期团队活动、旅游等；
5、广阔的发展空间：职业发展路径清晰、透明，内部培训多样，为你的职业生涯比你想得更远；
更多的福利内容，等着你来发现！",,微商操盘手,1519877058,0,417bb2bd81,,
8,,上海,浦东新区,上海,浦东新区商城路889号波特营B7栋1楼,3d763471501836550f624cbe26880e10,public://avatar/2018/03-01/084605735442860291.png,0,3cf299bc819bb6fa1831ca0ade684f93,1085,c327915c1e,1519865567,31943,杨娟,,,0,0,专科,不限,,上海锦步信息科技有限公司,未融资,9723678ebba9561662ab75f8c06c39f2,8825,社交网络,销售#销售#电话销售,31.23223,https://api.neituixiaowangzi.com/files/company/2017/10-28/081115866747554880.jpg,121.52198,6,10,0,15-50人,,菜鸟帮帮,,,,开放,商城路889号,波特营B7栋1楼,"主要职责：
1、向学员提供课程架构讲解及服务咨询；
2、根据客户需求制定学习方案，帮助客户建立合理可行的学习计划；
3、为学员提供报班建议，定期推送相关学术资料和传达活动通知；
4、处理在读学员的日常事务，如面授教务、班级调换、考勤稽核、课程续报等等；
5、通过优质的服务吸引和拓展新学员；
6、完成部门安排的其它工作。
 
【任职条件】
1、2年以上电话销售经验；专科以上学历，专业不限；
2、普通话标准，表达能力强； 
3、好奇心和求知欲强，学习能力强；
4、关注教育行业，并对此有一定的个人想法。",,课程销售顾问,1519876494,0,5223cd10c4,http://www.cainiaobangbang.com/,
9,,北京,海淀区,北京,海淀区北航致真大厦A705,21980db9b90364bb6897eea6b95f13fb,public://avatar/2018/02-26/130544023425931539.png,0,f9c84204bf74e97a1b4d4a7449ff06a8,952,1f1886c89c,1519621748,25378,刘婷婷,,,0,0,专科,1-3年,,北京易泊时代科技有限公司,不需要融资,47b4fb1248a9f29ad6ef7af7de5896bd,8702,移动互联网,销售#销售#销售专员,39.97706,https://api.neituixiaowangzi.com/files/company/2017/10-28/081024492563405232.png,116.35183,10,15,0,15-50人,,北京易泊时代,,,,开放,北航致真大厦,A705,"岗位职责：（智能停车行业）
1、负责北京及周边等地的终端客户及渠道市场开拓；
2、通过陌生拜访等方式找到终端停车场物业关键人信息，及时跟进；
3、与停车终端客户关键人进行沟通，及时掌握客户需求，了解客户状态；
4、定期对物业终端客户进行拜访，掌握客户决策流程，积极推进销售进度；
5、参与项目投标、合同的谈判与签订；
6、定期对物业终端客户进行回访，了解产品使用情况，做好客户服务工作；                                               
任职资格：
1、专科及以上学历（理工科背景），1年以上工作销售经验；
2、热爱销售工作，要有主动销售工作精神，积极努力拓展客户；
3、性格外向，具有较强的沟通能力、语言表达能力、团队协作能力；
4、要有较强的商务公关能力、应变能力和谈判能力；
5、能承受较大的工作压力； 
6、有智能停车、弱电集成、安防监控等领域的销售人员优先考虑",,销售专员,1519865882,25378,72cff2fb67,http://www.eparking.com.cn,
